Person,Age,Gender,Own Home,Married,Close,Salary,Children,History,Catalogs,Region,State,City,First Purchase,Amount Spent
334,Old,Female,Own Home,Married,0,37500,0,Medium Spending,18,East,New York,Buffalo,40134,1577.747
406,Middle Aged,Male,Own Home,Married,1,64300,2,Medium Spending,6,East,New York,Buffalo,40518,661.119
430,Young,Female,Renting,No,0,23200,2,NA,24,East,New York,Buffalo,42034,787.617
432,Middle Aged,Male,Own Home,Married,1,96900,1,High Spending,12,East,New York,Buffalo,41429,1419.508
444,Middle Aged,Male,Own Home,No,0,49700,0,High Spending,24,East,New York,Buffalo,41105,2844.309
451,Young,Female,Renting,No,1,12900,1,Low Spending,6,East,New York,Buffalo,41515,106.97
483,Young,Male,Renting,No,1,14100,0,Low Spending,12,East,New York,Buffalo,41418,328.069
484,Young,Female,Renting,No,0,17300,1,Low Spending,18,East,New York,Buffalo,40555,380.892
508,Young,Male,Renting,No,1,21700,1,NA,18,East,New York,Buffalo,42155,773.969
552,Middle Aged,Male,Renting,Married,1,92900,1,NA,6,East,New York,Buffalo,42013,1704.668
563,Young,Male,Renting,No,1,19100,0,NA,6,East,New York,Buffalo,42058,175.999
584,Middle Aged,Male,Own Home,No,0,60200,0,High Spending,12,East,New York,Buffalo,39954,1955.135
657,Middle Aged,Female,Renting,No,1,53700,2,NA,12,East,New York,Buffalo,42106,1193.799
669,Middle Aged,Female,Own Home,Married,0,88600,1,High Spending,18,East,New York,Buffalo,42196,2563.027
736,Middle Aged,Female,Renting,Married,0,45400,3,Medium Spending,24,East,New York,Buffalo,40770,1202.643
748,Young,Male,Renting,Married,0,51600,0,NA,12,East,New York,Buffalo,42183,1081.867
755,Middle Aged,Male,Own Home,Married,1,42700,0,Medium Spending,6,East,New York,Buffalo,41280,541.344
810,Middle Aged,Male,Own Home,Married,1,95100,2,Medium Spending,12,East,New York,Buffalo,42064,808.931
824,Middle Aged,Female,Renting,Married,0,60100,1,High Spending,18,East,New York,Buffalo,41854,1430.491
844,Old,Female,Own Home,Married,1,51000,0,Medium Spending,12,East,New York,Buffalo,41636,1025.344
897,Old,Female,Renting,No,0,13900,0,Low Spending,6,East,New York,Buffalo,41005,191.183
898,Middle Aged,Male,Renting,No,1,42300,0,Medium Spending,24,East,New York,Buffalo,41888,1050.981
901,Old,Female,Own Home,No,1,24400,0,Low Spending,6,East,New York,Buffalo,41721,491.187
922,Middle Aged,Male,Renting,No,1,49100,0,NA,6,East,New York,Buffalo,42185,934.386
942,Young,Female,Renting,No,1,14200,2,Low Spending,18,East,New York,Buffalo,40941,197.339
945,Middle Aged,Male,Own Home,Married,1,76100,0,NA,6,East,New York,Buffalo,42034,719.344
2,Middle Aged,Female,Own Home,Married,0,108100,3,High Spending,18,Midwest,Illinois,Chicago,39958,2632.462
5,Young,Male,Renting,No,1,11200,0,NA,6,Midwest,Illinois,Chicago,42220,105.624
9,Middle Aged,Male,Own Home,No,1,60300,0,NA,24,Midwest,Illinois,Chicago,42153,2091.422
55,Middle Aged,Male,Own Home,Married,0,96800,2,High Spending,18,Midwest,Illinois,Chicago,40186,2299.47
75,Old,Female,Renting,No,0,15100,0,Low Spending,6,Midwest,Illinois,Chicago,41719,348.456
91,Young,Female,Own Home,No,1,25900,2,NA,12,Midwest,Illinois,Chicago,42091,449.195
146,Old,Male,Own Home,Married,1,73300,0,NA,12,Midwest,Illinois,Chicago,42035,1694.467
149,Young,Female,Renting,No,1,23000,3,Low Spending,6,Midwest,Illinois,Chicago,42024,78.702
185,Middle Aged,Male,Own Home,Married,1,109900,2,Medium Spending,12,Midwest,Illinois,Chicago,41141,870.195
196,Old,Female,Own Home,Married,1,43600,0,Medium Spending,12,Midwest,Illinois,Chicago,42168,1046.572
255,Middle Aged,Male,Own Home,Married,1,111400,0,High Spending,12,Midwest,Illinois,Chicago,39831,2136.348
272,Middle Aged,Female,Own Home,No,1,27000,2,Low Spending,6,Midwest,Illinois,Chicago,40142,182.634
275,Old,Female,Renting,No,1,20100,0,Low Spending,24,Midwest,Illinois,Chicago,41059,575.572
295,Middle Aged,Male,Own Home,No,1,68900,2,NA,18,Midwest,Illinois,Chicago,42206,2783.896
358,Middle Aged,Female,Own Home,No,0,66800,3,NA,24,Midwest,Illinois,Chicago,42136,2098.029
376,Young,Female,Renting,No,0,13800,3,Low Spending,6,Midwest,Illinois,Chicago,39987,127.257
447,Old,Male,Own Home,Married,1,84300,0,High Spending,24,Midwest,Illinois,Chicago,41238,2841.822
466,Middle Aged,Female,Renting,Married,0,67300,1,High Spending,18,Midwest,Illinois,Chicago,40764,1513.331
479,Old,Female,Renting,No,1,14900,0,NA,12,Midwest,Illinois,Chicago,42142,274.585
487,Middle Aged,Male,Own Home,No,1,73200,0,High Spending,24,Midwest,Illinois,Chicago,41503,2176.837
501,Young,Male,Renting,Married,1,67800,0,High Spending,12,Midwest,Illinois,Chicago,41828,1083.677
523,Middle Aged,Female,Renting,Married,1,75200,1,NA,24,Midwest,Illinois,Chicago,42069,2702.455
533,Middle Aged,Female,Own Home,Married,0,44200,0,High Spending,24,Midwest,Illinois,Chicago,40885,2524.488
541,Middle Aged,Female,Own Home,No,1,52700,2,Low Spending,18,Midwest,Illinois,Chicago,40465,854.901
560,Middle Aged,Male,Own Home,No,0,61300,2,High Spending,24,Midwest,Illinois,Chicago,41713,1241.394
564,Young,Female,Renting,Married,1,73600,1,Medium Spending,6,Midwest,Illinois,Chicago,40277,646.813
585,Middle Aged,Female,Own Home,Married,1,80800,1,NA,18,Midwest,Illinois,Chicago,42112,1598.272
586,Young,Female,Renting,No,1,21900,1,NA,12,Midwest,Illinois,Chicago,42222,576.066
623,Middle Aged,Male,Own Home,Married,1,76700,1,Medium Spending,24,Midwest,Illinois,Chicago,40524,1430.668
677,Young,Female,Renting,No,1,25100,1,NA,6,Midwest,Illinois,Chicago,42009,421.027
691,Middle Aged,Female,Own Home,No,1,47900,1,Medium Spending,24,Midwest,Illinois,Chicago,40218,661.805
701,Old,Female,Renting,Married,1,97000,0,NA,24,Midwest,Illinois,Chicago,42245,2599.113
702,Old,Female,Own Home,Married,1,35000,0,Medium Spending,6,Midwest,Illinois,Chicago,39839,473.176
714,Middle Aged,Female,Own Home,Married,1,108100,1,High Spending,12,Midwest,Illinois,Chicago,40215,1133.433
729,Middle Aged,Male,Own Home,No,1,55900,0,Medium Spending,12,Midwest,Illinois,Chicago,40576,963.503
740,Young,Male,Renting,No,1,14200,0,Low Spending,6,Midwest,Illinois,Chicago,40261,250.249
765,Middle Aged,Female,Renting,No,1,42200,0,NA,18,Midwest,Illinois,Chicago,42137,1753.394
768,Middle Aged,Male,Renting,Married,0,72200,3,Medium Spending,18,Midwest,Illinois,Chicago,40284,1041.504
779,Young,Male,Renting,No,0,19400,0,Low Spending,6,Midwest,Illinois,Chicago,40376,563.433
787,Middle Aged,Male,Renting,No,1,52100,0,NA,12,Midwest,Illinois,Chicago,42151,1668.443
815,Young,Female,Renting,No,1,18800,2,Low Spending,18,Midwest,Illinois,Chicago,40210,170.481
823,Middle Aged,Male,Renting,No,0,65400,0,High Spending,12,Midwest,Illinois,Chicago,40041,2296.453
854,Young,Female,Renting,No,0,10200,2,Low Spending,18,Midwest,Illinois,Chicago,41349,213.261
864,Middle Aged,Female,Renting,No,1,32700,2,Low Spending,6,Midwest,Illinois,Chicago,40060,272.804
877,Young,Female,Own Home,No,1,27100,2,Low Spending,24,Midwest,Illinois,Chicago,40966,437.146
910,Young,Male,Own Home,Married,1,55100,0,Medium Spending,18,Midwest,Illinois,Chicago,41515,1438.523
913,Young,Male,Renting,No,1,10200,2,NA,12,Midwest,Illinois,Chicago,42208,333.143
948,Middle Aged,Male,Own Home,Married,1,117900,0,High Spending,6,Midwest,Illinois,Chicago,41256,1759.509
969,Young,Male,Renting,No,1,18200,0,Low Spending,12,Midwest,Illinois,Chicago,41617,400.976
981,Young,Female,Renting,No,1,13300,1,Low Spending,6,Midwest,Illinois,Chicago,41511,184.119
25,Middle Aged,Male,Renting,No,1,50700,3,Low Spending,6,Midwest,Ohio,Cincinnati,41784,156.772
37,Young,Male,Renting,Married,1,49800,0,Medium Spending,12,Midwest,Ohio,Cincinnati,41737,827.344
89,Middle Aged,Female,Renting,Married,1,53300,0,Medium Spending,24,Midwest,Ohio,Cincinnati,42200,1597.841
105,Young,Male,Renting,Married,0,60300,1,NA,6,Midwest,Ohio,Cincinnati,42196,1252.324
115,Middle Aged,Female,Own Home,No,0,64100,2,High Spending,24,Midwest,Ohio,Cincinnati,40388,1594.842
138,Middle Aged,Female,Renting,Married,0,43300,3,Medium Spending,24,Midwest,Ohio,Cincinnati,40245,715.835
145,Middle Aged,Male,Own Home,No,0,71500,0,NA,6,Midwest,Ohio,Cincinnati,42079,963.64
166,Young,Male,Renting,No,0,15300,0,Low Spending,24,Midwest,Ohio,Cincinnati,40050,644.758
174,Middle Aged,Male,Renting,Married,1,106700,2,Medium Spending,6,Midwest,Ohio,Cincinnati,41709,607.174
187,Middle Aged,Male,Own Home,Married,0,100600,3,High Spending,24,Midwest,Ohio,Cincinnati,41684,2838.182
236,Old,Male,Own Home,Married,0,52000,0,High Spending,18,Midwest,Ohio,Cincinnati,41391,2544.605
239,Young,Female,Renting,No,1,14300,1,NA,18,Midwest,Ohio,Cincinnati,42199,458.287
243,Middle Aged,Male,Own Home,Married,1,85600,0,High Spending,24,Midwest,Ohio,Cincinnati,42121,3380.141
263,Old,Male,Own Home,No,1,59300,0,Medium Spending,12,Midwest,Ohio,Cincinnati,40466,928.78
269,Young,Female,Own Home,No,1,33400,1,NA,6,Midwest,Ohio,Cincinnati,42018,617.259
279,Middle Aged,Female,Renting,No,1,58600,1,Medium Spending,6,Midwest,Ohio,Cincinnati,40928,624.138
292,Old,Male,Renting,Married,1,60000,0,Medium Spending,6,Midwest,Ohio,Cincinnati,40071,965.649
305,Middle Aged,Male,Own Home,Married,0,103900,1,High Spending,24,Midwest,Ohio,Cincinnati,40114,2665.848
390,Young,Female,Renting,No,0,13200,0,NA,18,Midwest,Ohio,Cincinnati,42079,511.761
408,Middle Aged,Female,Own Home,No,1,45100,1,Medium Spending,12,Midwest,Ohio,Cincinnati,40932,448.394
490,Old,Female,Own Home,No,0,47500,0,High Spending,6,Midwest,Ohio,Cincinnati,41290,754.84
595,Middle Aged,Female,Own Home,Married,1,92300,3,Low Spending,18,Midwest,Ohio,Cincinnati,41973,654.576
621,Middle Aged,Male,Own Home,Married,1,99300,1,High Spending,12,Midwest,Ohio,Cincinnati,41581,1503.809
642,Middle Aged,Female,Own Home,Married,1,59900,1,NA,6,Midwest,Ohio,Cincinnati,42055,613.463
645,Middle Aged,Male,Renting,Married,0,63000,0,High Spending,18,Midwest,Ohio,Cincinnati,40390,2106.787
667,Young,Female,Renting,No,0,27600,1,Medium Spending,24,Midwest,Ohio,Cincinnati,41263,893.374
694,Old,Female,Own Home,No,1,14600,0,Low Spending,24,Midwest,Ohio,Cincinnati,40491,467.681
712,Young,Male,Renting,Married,0,43500,1,Medium Spending,12,Midwest,Ohio,Cincinnati,41578,807.707
721,Young,Female,Own Home,No,0,27900,1,NA,12,Midwest,Ohio,Cincinnati,42225,575.98
737,Old,Male,Own Home,Married,1,56600,0,NA,24,Midwest,Ohio,Cincinnati,42109,1607.465
782,Young,Female,Renting,No,1,24000,2,NA,6,Midwest,Ohio,Cincinnati,42044,362.221
821,Middle Aged,Male,Own Home,Married,1,82100,1,High Spending,18,Midwest,Ohio,Cincinnati,40904,1307.874
862,Young,Female,Own Home,No,0,16300,0,NA,12,Midwest,Ohio,Cincinnati,42159,359.712
896,Young,Male,Renting,No,1,19800,2,Low Spending,12,Midwest,Ohio,Cincinnati,41868,209.422
899,Old,Female,Own Home,Married,1,52200,1,Medium Spending,12,Midwest,Ohio,Cincinnati,40326,668.873
908,Middle Aged,Male,Own Home,Married,1,97200,0,NA,12,Midwest,Ohio,Cincinnati,42080,1634.374
989,Young,Male,Own Home,No,1,41400,0,Medium Spending,18,Midwest,Ohio,Cincinnati,41374,642.814
993,Old,Male,Own Home,Married,0,59700,0,High Spending,18,Midwest,Ohio,Cincinnati,41205,1856.829
4,Old,Male,Own Home,Married,1,26800,0,Low Spending,12,East,Ohio,Cleveland,41269,434.606
24,Young,Female,Renting,No,1,15900,0,NA,18,East,Ohio,Cleveland,42168,405.62
36,Young,Female,Own Home,No,0,29600,3,NA,12,East,Ohio,Cleveland,42154,774.1
62,Old,Female,Own Home,No,0,24000,1,Low Spending,6,East,Ohio,Cleveland,40098,356.897
64,Middle Aged,Male,Own Home,Married,1,87000,0,High Spending,24,East,Ohio,Cleveland,41395,1594.459
66,Young,Female,Renting,Married,0,30100,0,Medium Spending,12,East,Ohio,Cleveland,41194,530.262
86,Old,Female,Own Home,Married,0,110000,0,High Spending,24,East,Ohio,Cleveland,40452,5564.127
87,Middle Aged,Male,Renting,No,1,63000,0,High Spending,24,East,Ohio,Cleveland,40901,1909.597
112,Middle Aged,Male,Own Home,No,1,76800,1,Medium Spending,18,East,Ohio,Cleveland,41565,1060.702
114,Young,Female,Renting,No,0,16100,0,NA,6,East,Ohio,Cleveland,42092,202.401
120,Middle Aged,Male,Own Home,Married,1,83600,2,Medium Spending,6,East,Ohio,Cleveland,40889,537.726
136,Young,Male,Renting,No,1,14200,1,NA,24,East,Ohio,Cleveland,42167,399.824
153,Young,Male,Renting,No,0,19500,0,NA,24,East,Ohio,Cleveland,42205,571.447
188,Old,Female,Renting,No,0,11700,0,Low Spending,18,East,Ohio,Cleveland,41720,539.769
194,Middle Aged,Male,Renting,Married,1,88000,2,Medium Spending,6,East,Ohio,Cleveland,40831,523.804
207,Middle Aged,Male,Renting,No,0,51900,0,High Spending,18,East,Ohio,Cleveland,40822,1491.568
266,Middle Aged,Male,Own Home,No,1,62800,3,NA,6,East,Ohio,Cleveland,42174,707.12
307,Old,Male,Own Home,No,1,44800,0,Medium Spending,24,East,Ohio,Cleveland,39839,1416.675
311,Young,Male,Renting,No,0,20400,0,Medium Spending,18,East,Ohio,Cleveland,41988,867.242
378,Young,Male,Own Home,No,1,31500,3,Low Spending,18,East,Ohio,Cleveland,40824,269.304
383,Middle Aged,Male,Own Home,Married,1,84700,3,NA,24,East,Ohio,Cleveland,42109,2704.53
384,Young,Male,Renting,Married,0,67300,3,NA,6,East,Ohio,Cleveland,42203,1211.953
389,Middle Aged,Male,Own Home,Married,0,84300,2,High Spending,18,East,Ohio,Cleveland,40910,1648.437
410,Young,Male,Own Home,No,1,33400,0,NA,12,East,Ohio,Cleveland,42035,567.134
418,Old,Female,Own Home,No,0,32700,0,Medium Spending,24,East,Ohio,Cleveland,40866,1251.791
421,Old,Female,Own Home,Married,0,22800,0,NA,12,East,Ohio,Cleveland,42062,451.779
423,Middle Aged,Female,Renting,Married,1,97400,3,Low Spending,6,East,Ohio,Cleveland,41565,212.709
469,Old,Male,Own Home,Married,0,54600,0,High Spending,24,East,Ohio,Cleveland,41212,2163.22
473,Middle Aged,Female,Renting,Married,1,66900,2,Medium Spending,12,East,Ohio,Cleveland,40716,768.639
474,Middle Aged,Male,Own Home,Married,1,66500,3,Low Spending,12,East,Ohio,Cleveland,40735,285.562
503,Old,Female,Own Home,Married,0,91800,0,NA,24,East,Ohio,Cleveland,42211,2451.608
515,Middle Aged,Male,Own Home,Married,1,77000,0,High Spending,12,East,Ohio,Cleveland,40714,2103.614
548,Old,Female,Own Home,No,1,43300,0,NA,12,East,Ohio,Cleveland,42245,1584.302
555,Middle Aged,Male,Own Home,Married,1,72200,0,High Spending,24,East,Ohio,Cleveland,40690,2491.68
562,Middle Aged,Male,Renting,Married,1,81800,1,High Spending,18,East,Ohio,Cleveland,40002,1837.867
589,Middle Aged,Male,Own Home,No,1,44600,2,Low Spending,6,East,Ohio,Cleveland,41962,236.309
597,Middle Aged,Female,Renting,No,1,41400,3,Low Spending,6,East,Ohio,Cleveland,41882,222.835
608,Middle Aged,Female,Own Home,Married,1,76600,3,NA,24,East,Ohio,Cleveland,42177,2903.766
610,Young,Male,Renting,Married,1,49300,0,NA,24,East,Ohio,Cleveland,42125,1692.379
619,Middle Aged,Female,Own Home,Married,1,105500,1,High Spending,6,East,Ohio,Cleveland,40974,1781.326
662,Middle Aged,Male,Renting,Married,1,62800,3,Low Spending,6,East,Ohio,Cleveland,40709,176.843
670,Middle Aged,Male,Own Home,Married,0,61400,1,High Spending,24,East,Ohio,Cleveland,40567,1574.514
696,Young,Male,Own Home,No,1,23200,0,NA,24,East,Ohio,Cleveland,42136,533.785
730,Young,Male,Renting,Married,1,27400,1,Low Spending,6,East,Ohio,Cleveland,40719,277.854
759,Young,Female,Own Home,Married,0,55900,1,NA,6,East,Ohio,Cleveland,42182,788.195
808,Middle Aged,Female,Renting,No,0,49500,2,Medium Spending,12,East,Ohio,Cleveland,40804,1195
849,Middle Aged,Female,Own Home,No,1,48400,0,Medium Spending,12,East,Ohio,Cleveland,41625,991.905
860,Young,Male,Renting,Married,1,45800,0,Medium Spending,6,East,Ohio,Cleveland,41197,489.208
876,Middle Aged,Male,Renting,No,1,63600,0,High Spending,6,East,Ohio,Cleveland,40251,1317.733
891,Young,Male,Renting,Married,0,53600,3,Medium Spending,24,East,Ohio,Cleveland,40386,1560.11
900,Young,Female,Own Home,Married,0,70900,0,NA,6,East,Ohio,Cleveland,42238,689.983
916,Middle Aged,Female,Renting,Married,1,79900,1,Medium Spending,18,East,Ohio,Cleveland,41055,1165.063
968,Old,Male,Renting,Married,1,34500,0,Medium Spending,12,East,Ohio,Cleveland,42119,801.768
971,Middle Aged,Female,Own Home,Married,1,110400,3,Low Spending,24,East,Ohio,Cleveland,42060,1093.048
997,Old,Female,Renting,No,1,21200,0,Low Spending,6,East,Ohio,Cleveland,41954,242.303
93,Middle Aged,Female,Renting,No,1,46600,0,NA,12,South,Texas,Dallas,42098,546.418
168,Young,Male,Renting,No,1,15200,0,NA,12,South,Texas,Dallas,42034,323.864
170,Middle Aged,Female,Own Home,Married,1,84800,1,NA,12,South,Texas,Dallas,42081,1826.338
177,Middle Aged,Female,Own Home,No,1,49100,2,Low Spending,6,South,Texas,Dallas,40007,474.061
231,Old,Male,Own Home,Married,1,73100,0,High Spending,6,South,Texas,Dallas,41634,1582.021
260,Young,Female,Renting,No,0,12900,1,Low Spending,6,South,Texas,Dallas,39855,167.413
297,Middle Aged,Male,Own Home,Married,1,97400,1,High Spending,6,South,Texas,Dallas,40639,879.789
377,Middle Aged,Male,Own Home,No,1,60300,0,High Spending,24,South,Texas,Dallas,42194,1263.126
450,Young,Female,Renting,No,1,15500,1,Low Spending,6,South,Texas,Dallas,41741,209.7
464,Middle Aged,Female,Renting,No,1,36900,1,Low Spending,6,South,Texas,Dallas,42072,371.293
502,Young,Male,Renting,Married,1,66700,0,NA,18,South,Texas,Dallas,42193,1310.013
536,Middle Aged,Male,Renting,Married,1,96400,1,High Spending,24,South,Texas,Dallas,42130,1822.331
605,Young,Male,Renting,No,1,14600,3,NA,6,South,Texas,Dallas,42118,307.285
626,Middle Aged,Male,Renting,Married,1,93000,1,High Spending,24,South,Texas,Dallas,42231,2644.047
632,Old,Female,Own Home,Married,1,70700,0,High Spending,24,South,Texas,Dallas,41689,2149.958
646,Young,Female,Own Home,No,0,21900,2,Low Spending,24,South,Texas,Dallas,40577,486.495
649,Middle Aged,Female,Own Home,Married,1,82700,1,High Spending,18,South,Texas,Dallas,41515,1753.181
666,Old,Male,Renting,No,1,29000,0,Low Spending,6,South,Texas,Dallas,40779,481.5
703,Young,Male,Own Home,No,0,39600,0,NA,12,South,Texas,Dallas,42242,1085.203
735,Young,Male,Renting,No,1,15000,3,Low Spending,6,South,Texas,Dallas,41094,37.807
766,Young,Male,Own Home,No,1,31900,0,Medium Spending,6,South,Texas,Dallas,41923,615.707
778,Middle Aged,Male,Renting,No,1,34200,1,Low Spending,18,South,Texas,Dallas,40024,522.639
880,Middle Aged,Male,Own Home,No,0,68700,1,NA,24,South,Texas,Dallas,42244,1699.212
927,Young,Female,Renting,No,1,23200,3,NA,24,South,Texas,Dallas,42191,769.773
953,Old,Male,Own Home,Married,1,75500,0,High Spending,6,South,Texas,Dallas,42077,740.916
964,Middle Aged,Male,Own Home,Married,1,96500,0,High Spending,24,South,Texas,Dallas,40857,3779.932
65,Middle Aged,Male,Renting,Married,1,117700,1,High Spending,12,West,Colorado,Denver,39957,2103.841
85,Middle Aged,Female,Own Home,No,1,43900,2,Low Spending,6,West,Colorado,Denver,40647,357.504
118,Middle Aged,Male,Own Home,Married,0,120000,3,High Spending,18,West,Colorado,Denver,41061,1925.519
122,Old,Female,Own Home,Married,1,54700,0,Medium Spending,24,West,Colorado,Denver,40015,1403.831
123,Old,Male,Own Home,Married,0,41300,0,High Spending,24,West,Colorado,Denver,41509,1985.325
128,Middle Aged,Male,Own Home,No,1,55900,1,NA,24,West,Colorado,Denver,42104,2555.45
135,Middle Aged,Male,Renting,Married,1,76200,1,NA,24,West,Colorado,Denver,42100,2436.88
226,Middle Aged,Female,Renting,No,1,42000,3,Low Spending,18,West,Colorado,Denver,41954,232.107
234,Young,Male,Renting,Married,1,53600,1,Medium Spending,24,West,Colorado,Denver,41854,972.929
261,Middle Aged,Female,Own Home,Married,1,44100,1,Medium Spending,24,West,Colorado,Denver,40521,703.586
282,Young,Male,Renting,No,1,25000,0,Low Spending,6,West,Colorado,Denver,41389,263.997
315,Middle Aged,Female,Own Home,No,0,56200,0,High Spending,18,West,Colorado,Denver,40054,1546.386
329,Middle Aged,Male,Own Home,Married,1,105300,1,NA,18,West,Colorado,Denver,42049,3504.72
341,Middle Aged,Female,Own Home,No,1,51900,2,NA,12,West,Colorado,Denver,42168,1161.776
417,Young,Female,Renting,No,0,20000,3,Low Spending,6,West,Colorado,Denver,40077,182.432
524,Old,Female,Renting,Married,0,81500,0,High Spending,18,West,Colorado,Denver,41030,3655.4
561,Old,Female,Own Home,Married,1,110700,0,High Spending,12,West,Colorado,Denver,41621,2457.674
600,Middle Aged,Female,Renting,No,0,44100,1,Medium Spending,18,West,Colorado,Denver,41617,1659.402
616,Middle Aged,Male,Own Home,No,1,48800,1,Medium Spending,24,West,Colorado,Denver,42160,1271.044
629,Middle Aged,Male,Own Home,Married,1,84100,3,NA,6,West,Colorado,Denver,42037,1351.948
634,Middle Aged,Female,Own Home,Married,1,100800,1,High Spending,24,West,Colorado,Denver,40141,1788.695
650,Old,Female,Own Home,Married,1,103300,0,High Spending,24,West,Colorado,Denver,40493,3378.482
651,Middle Aged,Male,Own Home,Married,0,113800,0,NA,12,West,Colorado,Denver,42042,3272.653
